# edot, sigma
1.0000000000e-06 4.3643511586e-01
3.1622776602e-06 3.9740650237e-01
1.0000000000e-05 4.3080395974e-01
3.1622776602e-05 4.3578696570e-01
1.0000000000e-04 5.4663675853e-01
3.1622776602e-04 5.3635692254e-01
1.0000000000e-03 6.0377443064e-01
3.1622776602e-03 5.8512056448e-01
1.0000000000e-02 6.9178125938e-01
1.0000000000e-02 6.7327143975e-01
3.5938136638e-02 8.9517194030e-01
1.2915496650e-01 8.7792601039e-01
4.6415888336e-01 1.0396727169e+00
1.6681005372e+00 1.2093980518e+00
5.9948425032e+00 1.4288967974e+00
2.1544346900e+01 1.3907039476e+00
7.7426368268e+01 1.6114022109e+00
2.7825594022e+02 1.8375144237e+00
1.0000000000e+03 2.4033113404e+00
