MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Operator Information						Time:	44.94857	Sec	4/10/2014 10:37:22 AM
User	Luecke
Specimen	RD1
Experiment	201404103
material	IF steel 
w 	12.695	mm
t	1.193	mm
Extensometer 1	MTS 632-11B-20 S/N 925 G=25.4mm
Gauge length pins free?	yes
Control Program	20140408-tension-relaxation-dispcontrol-v1
Test Notes	programmed relaxation test
User Test Notes	first displacment-controlled test on IF steel
Operator Information End

Data Acquisition						Time:	88.029785	Sec	4/10/2014 10:38:05 AM
Time	Axial Displacement	Axial Force	Axial Strain
Sec	mm	N	mm/mm
69.077316	-10.122135	80.368652	0.00049684133
69.177246	-10.118778	226.39972	0.00053041172
69.277184	-10.115421	345.57449	0.00056398206
69.377121	-10.101993	499.99814	0.00060426648
69.477051	-10.101993	605.74475	0.00064455095
69.576988	-10.095279	674.56409	0.00065126503
69.676926	-10.101993	728.27661	0.00065797905
69.776855	-10.095279	746.7403	0.00067140721
69.876793	-10.095279	755.13293	0.00066469313
69.97673	-10.091922	781.9892	0.00069154945
70.07666	-10.091922	912.91364	0.00071169162
70.176598	-10.081851	1072.3728	0.00077211828
70.276535	-10.071779	1270.438	0.00084597309
70.376465	-10.065065	1480.2527	0.0009198279
70.476402	-10.054995	1651.4614	0.0010138249
70.57634	-10.041566	1777.3505	0.0010809656
70.67627	-10.034852	1842.8125	0.0011615345
70.776207	-10.031495	1923.3815	0.0012353893
70.876144	-10.024781	1950.2378	0.0012958159
70.976074	-10.018067	1985.4866	0.0013629567
71.076012	-10.011353	1995.5576	0.0014300974
71.175949	-10.004639	2012.3429	0.0014838099
71.275879	-9.9979248	2030.8065	0.0015308085
71.375816	-9.9979248	2027.4496	0.001584521
71.475754	-9.9979248	2062.6982	0.0016248055
71.575684	-9.9912109	2054.3059	0.001671804
71.675621	-9.9912109	2092.9116	0.0017188025
71.775558	-9.987854	2082.8406	0.001759087
71.875488	-9.9811392	2097.9473	0.0018127995
71.975426	-9.9811392	2118.0894	0.0018732261
72.075363	-9.9777822	2128.1606	0.0019202246
72.175293	-9.9710684	2144.9458	0.0019672231
72.27523	-9.9643545	2144.9458	0.0020276499
72.375168	-9.9643545	2165.0879	0.0020813623
72.475098	-9.9576406	2149.9812	0.0021417891
72.575035	-9.9576406	2160.0525	0.0021552171
72.674973	-9.9576406	2161.731	0.0022089297
72.774902	-9.9542837	2163.4094	0.0022760704
72.87484	-9.9475689	2186.9087	0.0023230689
72.974777	-9.9475689	2188.5872	0.0023700674
73.074707	-9.940855	2202.0154	0.0024170659
73.174644	-9.9341412	2195.3013	0.0024707785
73.274582	-9.9341412	2210.408	0.002517777
73.374512	-9.9341412	2198.6584	0.0025580614
73.474449	-9.9274273	2212.0864	0.002611774
73.574387	-9.9274273	2207.051	0.0026587725
73.674316	-9.9207125	2213.7651	0.002705771
73.774254	-9.9173555	2238.9429	0.0027594836
73.874191	-9.9173555	2233.9072	0.0028131963
73.974121	-9.9106417	2247.3354	0.0028803369
74.074059	-9.9106417	2238.9429	0.0029206213
74.173996	-9.9039278	2257.4065	0.0029810481
74.273926	-9.9005709	2254.0496	0.0030347607
74.373863	-9.9005709	2255.728	0.0030817592
74.473801	-9.8972139	2247.3354	0.0031220436
74.57373	-9.893857	2243.9785	0.0031824701
74.673668	-9.8871422	2279.2273	0.0032294688
74.773605	-9.8871422	2259.085	0.0032831812
74.873535	-9.8837852	2269.1563	0.0033368939
74.973473	-9.8804283	2255.728	0.0033771782
75.07341	-9.8804283	2279.2273	0.0034174628
75.17334	-9.8770714	2270.8347	0.0034644613
75.273277	-9.8770714	2275.8704	0.0035181739
75.373215	-9.8737144	2279.2273	0.0035718863
75.473145	-9.8703575	2272.5132	0.003625599
75.573082	-9.8670006	2302.7266	0.0036524553
75.673019	-9.8602867	2289.2983	0.003719596
75.772949	-9.8602867	2301.0481	0.0037598803
75.872887	-9.8569288	2292.6555	0.0038068788
75.972824	-9.850215	2312.7976	0.0038538775
76.072754	-9.850215	2306.0835	0.003921018
76.172691	-9.850215	2307.7622	0.0039747306
76.272629	-9.8401442	2319.5117	0.0040217293
76.372559	-9.8401442	2307.7622	0.0040687276
76.472496	-9.8401442	2327.9043	0.0041224402
76.572433	-9.8334303	2302.7266	0.004169439
76.672363	-9.8300734	2321.1902	0.0042164372
76.772301	-9.8300734	2321.1902	0.0042701499
76.872238	-9.8233585	2329.5828	0.0043305764
76.972168	-9.8166447	2322.8689	0.0043641469
77.072105	-9.8200016	2326.2258	0.0044245734
77.172043	-9.8166447	2334.6184	0.0044648582
77.271973	-9.8132877	2329.5828	0.0045118565
77.37191	-9.8065739	2348.0466	0.0045588552
77.471848	-9.8099308	2332.9399	0.0046058535
77.571777	-9.8065739	2356.4392	0.00466628
77.671715	-9.7965021	2344.6895	0.0047401348
77.771652	-9.7965021	2339.6541	0.004760277
77.871582	-9.7931452	2346.3682	0.004820704
77.971519	-9.7931452	2351.4036	0.004854274
78.071457	-9.7864313	2361.4749	0.0049012727
78.171387	-9.7864313	2353.082	0.0049751275
78.271324	-9.7797174	2369.8674	0.0050019836
78.371262	-9.7797174	2354.7607	0.0050624106
78.471191	-9.7797174	2379.9385	0.005102695
78.571129	-9.7730036	2368.1887	0.0051631215
78.671066	-9.7696466	2356.4392	0.0052034059
78.770996	-9.7696466	2373.2244	0.0052638324
78.870934	-9.7629318	2369.8674	0.0052974029
78.970871	-9.7595749	2369.8674	0.0053444016
79.070801	-9.7595749	2383.2954	0.0054048281
79.170738	-9.752861	2400.0806	0.0054518268
79.270676	-9.752861	2378.26	0.005505539
79.370605	-9.7461472	2393.3665	0.0055458238
79.470543	-9.7461472	2396.7234	0.0056062504
79.57048	-9.7427902	2390.0095	0.005659963
79.67041	-9.7394333	2401.759	0.0057069613
79.770348	-9.7360764	2386.6526	0.00575396
79.870285	-9.7327185	2405.116	0.0058009583
79.970215	-9.7327185	2393.3665	0.005847957
80.070152	-9.7260046	2406.7944	0.0059016696
80.17009	-9.7226477	2406.7944	0.005941954
80.27002	-9.7226477	2425.2583	0.0060090944
80.369957	-9.7192907	2420.2227	0.006062807
80.469894	-9.7159338	2406.7944	0.0061165197
80.569824	-9.7125769	2437.0078	0.0061635184
80.669762	-9.705863	2416.8657	0.006217231
80.769699	-9.7025051	2430.2937	0.0062575154
80.869629	-9.6991482	2421.9011	0.0063179419
80.969566	-9.6991482	2426.9368	0.0063649402
81.069504	-9.6991482	2426.9368	0.0064119389
81.169434	-9.6924343	2428.6152	0.0064522233
81.269371	-9.6890774	2426.9368	0.006499222
81.369308	-9.6857204	2431.9724	0.0065596486
81.469238	-9.6823635	2460.5071	0.0066066468
81.569176	-9.6823635	2433.6509	0.0066536455
81.669113	-9.6790066	2438.6863	0.0067006443
81.769043	-9.6756496	2433.6509	0.0067543564
81.86898	-9.6689348	2447.0791	0.0067946413
81.968918	-9.6689348	2448.7576	0.0068483534
82.068848	-9.658864	2453.793	0.0068886383
82.168785	-9.662221	2452.1145	0.0069490648
82.268723	-9.658864	2445.4004	0.0069893491
82.368652	-9.6521502	2480.6494	0.0070564901
82.46859	-9.6487932	2465.5427	0.00709006
82.568527	-9.6487932	2467.2212	0.0071572009
82.668457	-9.6420794	2457.1501	0.0072109136
82.768394	-9.6420794	2463.8643	0.0072511979
82.868332	-9.6387215	2472.2568	0.0072981967
82.968262	-9.6286507	2468.8997	0.0073586232
83.068199	-9.6286507	2475.6138	0.0074056215
83.168137	-9.6320076	2473.9353	0.0074459058
83.268066	-9.6219368	2487.3635	0.0075130467
83.368004	-9.6185799	2475.6138	0.0075533311
83.467941	-9.6185799	2478.9709	0.0075936154
83.567871	-9.6152229	2484.0063	0.0076406142
83.667809	-9.611866	2478.9709	0.0076943268
83.767746	-9.611866	2494.0776	0.0077413251
83.867676	-9.6051512	2477.2922	0.0077950377
83.967613	-9.6051512	2500.7915	0.0078286082
84.067551	-9.6051512	2495.7561	0.0078957491
84.16748	-9.5950804	2504.1487	0.0079360334
84.267418	-9.5917234	2504.1487	0.0079964604
84.367355	-9.5883665	2509.1841	0.0080501726
84.467285	-9.5883665	2505.8271	0.0080971709
84.567223	-9.5850096	2495.7561	0.0081374552
84.66716	-9.5816526	2522.6123	0.0081978822
84.76709	-9.5782957	2502.4702	0.0082515944
84.867027	-9.5749378	2517.5769	0.0082851648
84.966965	-9.568224	2512.5413	0.0083388779
85.066895	-9.568224	2505.8271	0.0083858762
85.166832	-9.5581532	2517.5769	0.0084395884
85.266769	-9.5615101	2517.5769	0.0084798727
85.366699	-9.5547962	2544.4331	0.0085335858
85.466637	-9.5547962	2519.2554	0.0085940128
85.566574	-9.5480824	2532.6833	0.0086342972
85.666504	-9.5480824	2515.8982	0.0086880093
85.766441	-9.5447245	2546.1116	0.0087350076
85.866379	-9.5380106	2542.7546	0.0087954346
85.966309	-9.5380106	2525.9695	0.0088424329
86.066246	-9.5380106	2557.8613	0.008896146
86.166183	-9.5279398	2537.719	0.0089632859
86.266113	-9.5212259	2546.1116	0.0090035712
86.366051	-9.5245829	2532.6833	0.0090371408
86.465988	-9.5245829	2547.79	0.00908414
86.565918	-9.517869	2551.1472	0.0091378521
86.665855	-9.5111542	2569.6108	0.0091915652
86.765793	-9.5077972	2554.5042	0.0092519913
86.865723	-9.5077972	2542.7546	0.0092989895
86.96566	-9.5077972	2566.2539	0.00933256
87.065598	-9.5010834	2556.1826	0.0093997009
87.165527	-9.4977264	2564.5754	0.0094399853
87.265465	-9.4977264	2549.4688	0.0094802696
87.365402	-9.4910126	2567.9324	0.0095272688
87.465332	-9.4842978	2572.968	0.009580981
87.565269	-9.4809408	2574.6465	0.009641408
87.665207	-9.4809408	2571.2893	0.0096884063
87.765137	-9.4842978	2566.2539	0.0097421184
87.865074	-9.474227	2593.1101	0.0097958315
87.965012	-9.47087	2578.0034	0.0098562576

Data Acquisition						Time:	373.9035	Sec	4/10/2014 10:42:51 AM
Time	Axial Displacement	Axial Force	Axial Strain
Sec	mm	N	mm/mm
89.040207	-9.4675131	2415.187	0.009889828
90.040207	-9.4675131	2415.187	0.0099032568
91.040207	-9.47087	2391.688	0.0099099707
92.040207	-9.4675131	2371.5459	0.009889828
93.040207	-9.47087	2358.1177	0.0099099707
94.040207	-9.4675131	2383.2954	0.0099166846
95.040207	-9.4675131	2344.6895	0.009889828
96.040207	-9.4675131	2311.1191	0.009889828
97.040207	-9.474227	2309.4407	0.0098764002
98.040207	-9.47087	2301.0481	0.0098764002
99.040207	-9.4675131	2282.5842	0.0098764002
100.04021	-9.47087	2322.8689	0.009889828
101.04021	-9.47087	2331.2615	0.0098831141
102.04021	-9.4641562	2339.6541	0.0099032568
103.04021	-9.47087	2317.8333	0.0098764002
104.04021	-9.4675131	2349.7251	0.0098831141
105.04021	-9.4675131	2329.5828	0.0098965419
106.04021	-9.474227	2363.1533	0.0098965419
107.04021	-9.47087	2336.2969	0.0098965419
108.04021	-9.4675131	2388.3311	0.0099368272
109.04021	-9.47087	2368.1887	0.0099032568
110.04021	-9.47087	2376.5813	0.0099166846
111.04021	-9.47087	2359.7961	0.0099099707
112.04021	-9.4675131	2368.1887	0.0099099707
113.04021	-9.4675131	2354.7607	0.0099099707
114.04021	-9.47087	2326.2258	0.0099032568
115.04021	-9.474227	2351.4036	0.0098965419
116.04021	-9.4675131	2282.5842	0.0098965419
117.04021	-9.4675131	2297.6909	0.0098965419
118.04021	-9.47087	2287.6199	0.009889828
119.04021	-9.47087	2312.7976	0.0098965419
120.04021	-9.4675131	2284.2629	0.009889828
121.04021	-9.47087	2289.2983	0.009889828
122.04021	-9.474227	2282.5842	0.0098831141
123.04021	-9.4675131	2290.9771	0.0099099707
124.04021	-9.4675131	2274.1917	0.0098764002
125.04021	-9.47087	2233.9072	0.0098831141
126.04021	-9.4675131	2247.3354	0.009889828
127.04021	-9.474227	2321.1902	0.0099032568
128.04021	-9.4675131	2314.4763	0.0098965419
129.04021	-9.47087	2309.4407	0.0099032568
